CandidateID,CanFirstName,CanLastName,PartyName,OfficeName
19911,SEBASTIAN THOMAS,PATTI - NO,,COOK CIRCUIT - RETAIN PATTI
19912,MARY ELLEN,COGHLAN - YES,,COOK CIRCUIT - RETAIN COGHLAN
19913,MARY ELLEN,COGHLAN - NO,,COOK CIRCUIT - RETAIN COGHLAN
19914,KATHLEEN MARIE,McGURY - YES,,COOK CIRCUIT - RETAIN McGURY
19915,KATHLEEN MARIE,McGURY - NO,,COOK CIRCUIT - RETAIN McGURY
19916,SHELLEY LYNN,SUTKER-DERMER - YES,,COOK CIRCUIT - RETAIN SUTKER-DERMER
19917,SHELLEY LYNN,SUTKER-DERMER - NO,,COOK CIRCUIT - RETAIN SUTKER-DERMER
19918,SCOTT H.,WALDEN - YES,,8TH CIRCUIT - RETAIN WALDEN
19919,SCOTT H.,WALDEN - NO,,8TH CIRCUIT - RETAIN WALDEN
19920,LYNN MARIE,EGAN - YES,,COOK CIRCUIT - RETAIN EGAN
19921,LYNN MARIE,EGAN - NO,,COOK CIRCUIT - RETAIN EGAN
19922,BOB,"HARDWICK, JR. - YES",,"8TH CIRCUIT - RETAIN HARDWICK, JR."
19923,BOB,"HARDWICK, JR. - NO",,"8TH CIRCUIT - RETAIN HARDWICK, JR."
19924,ANDREW,BERMAN - YES,,COOK CIRCUIT - RETAIN BERMAN
19925,ANDREW,BERMAN - NO,,COOK CIRCUIT - RETAIN BERMAN
19926,DIANE M.,LAGOSKI - YES,,8TH CIRCUIT - RETAIN LAGOSKI
19927,DIANE M.,LAGOSKI - NO,,8TH CIRCUIT - RETAIN LAGOSKI
19928,JAMES B.,STEWART - YES,,9TH CIRCUIT - RETAIN STEWART
19929,DIANE GORDON,CANNON - YES,,COOK CIRCUIT - RETAIN CANNON
19930,DIANE GORDON,CANNON - NO,,COOK CIRCUIT - RETAIN CANNON
19931,JAMES B.,STEWART - NO,,9TH CIRCUIT - RETAIN STEWART
19932,DAVID L.,"VANCIL, JR. - YES",,"9TH CIRCUIT - RETAIN VANCIL, JR."
19933,EVELYN B.,CLAY - YES,,COOK CIRCUIT - RETAIN CLAY
19934,DAVID L.,"VANCIL, JR. - NO",,"9TH CIRCUIT - RETAIN VANCIL, JR."
19935,EVELYN B.,CLAY - NO,,COOK CIRCUIT - RETAIN CLAY
19936,CLAYTON J.,CRANE - YES,,COOK CIRCUIT - RETAIN CRANE
19937,CLAYTON J.,CRANE - NO,,COOK CIRCUIT - RETAIN CRANE
19938,PAUL L.,MANGIERI - YES,,9TH CIRCUIT - RETAIN MANGIERI
19939,PAUL L.,MANGIERI - NO,,9TH CIRCUIT - RETAIN MANGIERI
19940,CANDACE JEAN,FABRI - YES,,COOK CIRCUIT - RETAIN FABRI
19941,CANDACE JEAN,FABRI - NO,,COOK CIRCUIT - RETAIN FABRI
19942,JOHN J.,FLEMING - YES,,COOK CIRCUIT - RETAIN FLEMING
19943,JOHN J.,FLEMING - NO,,COOK CIRCUIT - RETAIN FLEMING
19944,RODOLFO (RUDY),GARCIA - YES,,COOK CIRCUIT - RETAIN GARCIA
19945,RODOLFO (RUDY),GARCIA - NO,,COOK CIRCUIT - RETAIN GARCIA
19948,STEPHEN A.,KOURI - YES,,10TH CIRCUIT - RETAIN KOURI
19949,STEPHEN A.,KOURI - NO,,10TH CIRCUIT - RETAIN KOURI
19950,CHARLES G.,REYNARD - YES,,11TH CIRCUIT - RETAIN REYNARD
19951,CHARLES G.,REYNARD - NO,,11TH CIRCUIT - RETAIN REYNARD
19952,JENNIFER H.,BAUKNECHT - YES,,11TH CIRCUIT - RETAIN BAUKNECHT
19953,JENNIFER H.,BAUKNECHT - NO,,11TH CIRCUIT - RETAIN BAUKNECHT
19954,ROBERT L.,FREITAG - YES,,11TH CIRCUIT - RETAIN FREITAG
19955,ROBERT L.,FREITAG - NO,,11TH CIRCUIT - RETAIN FREITAG
19956,THOMAS M.,"HARRIS, JR. - YES",,"11TH CIRCUIT - RETAIN HARRIS, JR."
19957,THOMAS M.,"HARRIS, JR. - NO",,"11TH CIRCUIT - RETAIN HARRIS, JR."
19958,AMY M.,BERTANI-TOMCZAK - YES,,12TH CIRCUIT - RETAIN BERTANI-TOMCZAK
19959,AMY M.,BERTANI-TOMCZAK - NO,,12TH CIRCUIT - RETAIN BERTANI-TOMCZAK
19960,SUSAN T.,O'LEARY - YES,,12TH CIRCUIT - RETAIN O'LEARY
19961,SUSAN T.,O'LEARY - NO,,12TH CIRCUIT - RETAIN O'LEARY
19962,CARLA ALESSIO,POLICANDRIOTES - YES,,12TH CIRCUIT - RETAIN POLICANDRIOTES
19963,CARLA ALESSIO,POLICANDRIOTES - NO,,12TH CIRCUIT - RETAIN POLICANDRIOTES
19964,RICHARD C.,SCHOENSTEDT - YES,,12TH CIRCUIT - RETAIN SCHOENSTEDT
19965,RICHARD C.,SCHOENSTEDT - NO,,12TH CIRCUIT - RETAIN SCHOENSTEDT
19966,SARAH,JONES - YES,,12TH CIRCUIT - RETAIN JONES
19967,SARAH,JONES - NO,,12TH CIRCUIT - RETAIN JONES
19968,JEFF,ALLEN - YES,,12TH CIRCUIT - RETAIN ALLEN
19969,JEFF,ALLEN - NO,,12TH CIRCUIT - RETAIN ALLEN
19970,PAULA A.,GOMORA - YES,,12TH CIRCUIT - RETAIN GOMORA
19971,PAULA A.,GOMORA - NO,,12TH CIRCUIT - RETAIN GOMORA
19972,"EUGENE P. ""GENE""",DAUGHERITY - YES,,13TH CIRCUIT - RETAIN DAUGHERITY
19973,"EUGENE P. ""GENE""",DAUGHERITY - NO,,13TH CIRCUIT - RETAIN DAUGHERITY
19974,ROBERT C.,MARSAGLIA - YES,,13TH CIRCUIT - RETAIN MARSAGLIA
19975,ROBERT C.,MARSAGLIA - NO,,13TH CIRCUIT - RETAIN MARSAGLIA
19976,JOSEPH P.,HETTEL - YES,,13TH CIRCUIT - RETAIN HETTEL
19977,JOSEPH P.,HETTEL - NO,,13TH CIRCUIT - RETAIN HETTEL
19978,WALTER D.,BRAUD - YES,,14TH CIRCUIT - RETAIN BRAUD
19979,WALTER D.,BRAUD - NO,,14TH CIRCUIT - RETAIN BRAUD
19980,WILLIAM A.,KELLY - YES,,15TH CIRCUIT - RETAIN KELLY
19981,WILLIAM A.,KELLY - NO,,15TH CIRCUIT - RETAIN KELLY
19982,VAL,GUNNARSSON - YES,,15TH CIRCUIT - RETAIN GUNNARSSON
19983,VAL,GUNNARSSON - NO,,15TH CIRCUIT - RETAIN GUNNARSSON
19984,RON,JACOBSON - YES,,15TH CIRCUIT - RETAIN JACOBSON
19985,RON,JACOBSON - NO,,15TH CIRCUIT - RETAIN JACOBSON
19986,DANIEL A.,FISH - YES,,15TH CIRCUIT - RETAIN FISH
19987,DANIEL A.,FISH - NO,,15TH CIRCUIT - RETAIN FISH
19990,JOSEPH M.,GRADY - YES,,16TH CIRCUIT - RETAIN GRADY
19991,JOSEPH M.,GRADY - NO,,16TH CIRCUIT - RETAIN GRADY
19992,JUDY,BRAWKA - YES,,16TH CIRCUIT - RETAIN BRAWKA
19993,JUDY,BRAWKA - NO,,16TH CIRCUIT - RETAIN BRAWKA
19994,JAMES R.,MURPHY - YES,,16TH CIRCUIT - RETAIN MURPHY
19995,JAMES R.,MURPHY - NO,,16TH CIRCUIT - RETAIN MURPHY
19996,JOHN A.,NOVERINI - YES,,16TH CIRCUIT - RETAIN NOVERINI
19997,JOHN A.,NOVERINI - NO,,16TH CIRCUIT - RETAIN NOVERINI
19998,JOSEPH G.,McGRAW - YES,,17TH CIRCUIT - RETAIN McGRAW
19999,JOSEPH G.,McGRAW - NO,,17TH CIRCUIT - RETAIN McGRAW
20000,ROSEMARY,COLLINS - YES,,17TH CIRCUIT - RETAIN COLLINS
20001,ROSEMARY,COLLINS - NO,,17TH CIRCUIT - RETAIN COLLINS
20002,GENE,DOHERTY - YES,,17TH CIRCUIT - RETAIN DOHERTY
20003,GENE,DOHERTY - NO,,17TH CIRCUIT - RETAIN DOHERTY
20004,LISA,FABIANO - YES,,17TH CIRCUIT - RETAIN FABIANO
20005,LISA,FABIANO - NO,,17TH CIRCUIT - RETAIN FABIANO
20006,GWYN,GULLEY - YES,,17TH CIRCUIT - RETAIN GULLEY
20007,GWYN,GULLEY - NO,,17TH CIRCUIT - RETAIN GULLEY
20008,"RONALD ""RON"" J.",WHITE - YES,,17TH CIRCUIT - RETAIN WHITE
20009,"RONALD ""RON"" J.",WHITE - NO,,17TH CIRCUIT - RETAIN WHITE
20010,ROBERT J.,ANDERSON - YES,,18TH CIRCUIT - RETAIN ANDERSON
20011,ROBERT J.,ANDERSON - NO,,18TH CIRCUIT - RETAIN ANDERSON
20012,GEORGE J.,BAKALIS - YES,,18TH CIRCUIT - RETAIN BAKALIS
20013,GEORGE J.,BAKALIS - NO,,18TH CIRCUIT - RETAIN BAKALIS
20014,JOHN T.,ELSNER - YES,,18TH CIRCUIT - RETAIN ELSNER
20015,JOHN T.,ELSNER - NO,,18TH CIRCUIT - RETAIN ELSNER
20016,KATHRYN E.,CRESWELL - YES,,18TH CIRCUIT - RETAIN CRESWELL
20017,KATHRYN E.,CRESWELL - NO,,18TH CIRCUIT - RETAIN CRESWELL
20018,BLANCHE HILL,FAWELL - YES,,18TH CIRCUIT - RETAIN FAWELL
20019,BLANCHE HILL,FAWELL - NO,,18TH CIRCUIT - RETAIN FAWELL
20020,JOHN J.,KINSELLA - YES,,18TH CIRCUIT - RETAIN KINSELLA
20021,JOHN J.,KINSELLA - NO,,18TH CIRCUIT - RETAIN KINSELLA
20022,"CHRISTOPHER C. ""KIP""",STARCK - YES,,19TH CIRCUIT - RETAIN STARCK
20023,"CHRISTOPHER C. ""KIP""",STARCK - NO,,19TH CIRCUIT - RETAIN STARCK
20024,JAMES K.,BOORAS - YES,,19TH CIRCUIT - RETAIN BOORAS
20025,JAMES K.,BOORAS - NO,,19TH CIRCUIT - RETAIN BOORAS
20026,VALERIE,CECKOWSKI - YES,,19TH CIRCUIT - RETAIN CECKOWSKI
20027,VALERIE,CECKOWSKI - NO,,19TH CIRCUIT - RETAIN CECKOWSKI
20028,JAY W.,UKENA - YES,,19TH CIRCUIT - RETAIN UKENA
20029,JAY W.,UKENA - NO,,19TH CIRCUIT - RETAIN UKENA
20030,JAMES W.,CAMPANELLA - YES,,20TH CIRCUIT - RETAIN CAMPANELLA
20031,JAMES W.,CAMPANELLA - NO,,20TH CIRCUIT - RETAIN CAMPANELLA
20032,DENNIS,DOYLE - YES,,20TH CIRCUIT - RETAIN DOYLE
20033,DENNIS,DOYLE - NO,,20TH CIRCUIT - RETAIN DOYLE
20034,JAMES J.,GAVIN - YES,,COOK CIRCUIT - RETAIN GAVIN
20035,JAMES J.,GAVIN - NO,,COOK CIRCUIT - RETAIN GAVIN
20038,RICKEY,JONES - YES,,COOK CIRCUIT - RETAIN JONES
20039,RICKEY,JONES - NO,,COOK CIRCUIT - RETAIN JONES
20040,KATHLEEN G.,KENNEDY - YES,,"COOK CIRCUIT - RETAIN KENNEDY, KATHLEEN"
20041,KATHLEEN G.,KENNEDY - NO,,"COOK CIRCUIT - RETAIN KENNEDY, KATHLEEN"
20042,WILLIAM G.,LACY - YES,,COOK CIRCUIT - RETAIN LACY
20043,WILLIAM G.,LACY - NO,,COOK CIRCUIT - RETAIN LACY
20044,MARJORIE C.,LAWS - YES,,COOK CIRCUIT - RETAIN LAWS
20045,MARJORIE C.,LAWS - NO,,COOK CIRCUIT - RETAIN LAWS
20046,PATRICIA MANILA,MARTIN - YES,,COOK CIRCUIT - RETAIN MARTIN
20047,PATRICIA MANILA,MARTIN - NO,,COOK CIRCUIT - RETAIN MARTIN
20048,VERONICA B.,MATHEIN - YES,,COOK CIRCUIT - RETAIN MATHEIN
20049,VERONICA B.,MATHEIN - NO,,COOK CIRCUIT - RETAIN MATHEIN
20050,EDMUND,PONCE de LEON - YES,,COOK CIRCUIT - RETAIN PONCE de LEON
20051,EDMUND,PONCE de LEON - NO,,COOK CIRCUIT - RETAIN PONCE de LEON
20052,JAMES L.,RHODES - YES,,COOK CIRCUIT - RETAIN RHODES
20053,JAMES L.,RHODES - NO,,COOK CIRCUIT - RETAIN RHODES
20054,JAMES G.,RILEY - YES,,COOK CIRCUIT - RETAIN RILEY
20055,JAMES G.,RILEY - NO,,COOK CIRCUIT - RETAIN RILEY
20056,DONALD J.,SURIANO - YES,,COOK CIRCUIT - RETAIN SURIANO
20057,DONALD J.,SURIANO - NO,,COOK CIRCUIT - RETAIN SURIANO
20058,KENNETH J.,WADAS - YES,,COOK CIRCUIT - RETAIN WADAS
20059,KENNETH J.,WADAS - NO,,COOK CIRCUIT - RETAIN WADAS
20060,FRANK G.,ZELEZINSKI - YES,,COOK CIRCUIT - RETAIN ZELEZINSKI
20061,FRANK G.,ZELEZINSKI - NO,,COOK CIRCUIT - RETAIN ZELEZINSKI
20062,GREGORY JOSEPH,WOJKOWSKI - YES,,COOK CIRCUIT - RETAIN WOJKOWSKI
20063,GREGORY JOSEPH,WOJKOWSKI - NO,,COOK CIRCUIT - RETAIN WOJKOWSKI
20064,MARY ANNE,MASON - YES,,COOK CIRCUIT - RETAIN MASON
20065,MARY ANNE,MASON - NO,,COOK CIRCUIT - RETAIN MASON
20066,ROBERT E.,GORDON - YES,,COOK CIRCUIT - RETAIN GORDON
20067,ROBERT E.,GORDON - NO,,COOK CIRCUIT - RETAIN GORDON
20068,LEWIS,NIXON - YES,,COOK CIRCUIT - RETAIN NIXON
20069,LEWIS,NIXON - NO,,COOK CIRCUIT - RETAIN NIXON
20070,EILEEN MARY,BREWER - YES,,COOK CIRCUIT - RETAIN BREWER
20071,EILEEN MARY,BREWER - NO,,COOK CIRCUIT - RETAIN BREWER
20074,CLARK,ERICKSON - YES,,21ST CIRCUIT - RETAIN ERICKSON
20075,CLARK,ERICKSON - NO,,21ST CIRCUIT - RETAIN ERICKSON
20076,GORDON L.,LUSTFELDT - YES,,21ST CIRCUIT - RETAIN LUSTFELDT
20077,GORDON L.,LUSTFELDT - NO,,21ST CIRCUIT - RETAIN LUSTFELDT
20078,MICHAEL J.,KICK - YES,,21ST CIRCUIT - RETAIN KICK
20079,MICHAEL J.,KICK - NO,,21ST CIRCUIT - RETAIN KICK
20080,SUSAN SUMNER,TUNGATE - YES,,21ST CIRCUIT - RETAIN TUNGATE
20081,SUSAN SUMNER,TUNGATE - NO,,21ST CIRCUIT - RETAIN TUNGATE
20082,ADRIENNE WAKAT,ALBRECHT - YES,,21ST CIRCUIT - RETAIN ALBRECHT
20083,ADRIENNE WAKAT,ALBRECHT - NO,,21ST CIRCUIT - RETAIN ALBRECHT
20084,MICHAEL J.,SULLIVAN - YES,,22ND CIRCUIT - RETAIN SULLIVAN
20085,MICHAEL J.,SULLIVAN - NO,,22ND CIRCUIT - RETAIN SULLIVAN
20086,SHARON,PRATHER - YES,,22ND CIRCUIT - RETAIN PRATHER
20087,SHARON,PRATHER - NO,,22ND CIRCUIT - RETAIN PRATHER
20088,MICHAEL T.,CALDWELL - YES,,22ND CIRCUIT - RETAIN CALDWELL
20089,MICHAEL T.,CALDWELL - NO,,22ND CIRCUIT - RETAIN CALDWELL
20090,MARGARET ANN,BRENNAN - YES,,COOK CIRCUIT - RETAIN BRENNAN
20091,MARGARET ANN,BRENNAN - NO,,COOK CIRCUIT - RETAIN BRENNAN
20092,JANET ADAMS,BROSNAHAN - YES,,COOK CIRCUIT - RETAIN BROSNAHAN
20093,JANET ADAMS,BROSNAHAN - NO,,COOK CIRCUIT - RETAIN BROSNAHAN
20094,JAMES,BROWN - YES,,COOK CIRCUIT - RETAIN BROWN
20095,JAMES,BROWN - NO,,COOK CIRCUIT - RETAIN BROWN
20098,PETER A.,FELICE - YES,,COOK CIRCUIT - RETAIN FELICE
20099,PETER A.,FELICE - NO,,COOK CIRCUIT - RETAIN FELICE
20100,KERRY M.,KENNEDY - YES,,"COOK CIRCUIT - RETAIN KENNEDY, KERRY"
20101,KERRY M.,KENNEDY - NO,,"COOK CIRCUIT - RETAIN KENNEDY, KERRY"
20102,CASANDRA,LEWIS - YES,,COOK CIRCUIT - RETAIN LEWIS
20103,CASANDRA,LEWIS - NO,,COOK CIRCUIT - RETAIN LEWIS
20104,THOMAS J.,LIPSCOMB - YES,,COOK CIRCUIT - RETAIN LIPSCOMB
20105,THOMAS J.,LIPSCOMB - NO,,COOK CIRCUIT - RETAIN LIPSCOMB
20106,SHEILA,McGINNIS - YES,,COOK CIRCUIT - RETAIN McGINNIS
20107,SHEILA,McGINNIS - NO,,COOK CIRCUIT - RETAIN McGINNIS
20108,DENNIS MICHAEL,McGUIRE - YES,,COOK CIRCUIT - RETAIN McGUIRE
20109,DENNIS MICHAEL,McGUIRE - NO,,COOK CIRCUIT - RETAIN McGUIRE
20110,WILLIAM TIMOTHY,O'BRIEN - YES,,COOK CIRCUIT - RETAIN O'BRIEN
20111,WILLIAM TIMOTHY,O'BRIEN - NO,,COOK CIRCUIT - RETAIN O'BRIEN
20112,LAURA MARIE,SULLIVAN - YES,,COOK CIRCUIT - RETAIN SULLIVAN
20113,LAURA MARIE,SULLIVAN - NO,,COOK CIRCUIT - RETAIN SULLIVAN
20114,SANDRA,TRISTANO - YES,,COOK CIRCUIT - RETAIN TRISTANO
20115,SANDRA,TRISTANO - NO,,COOK CIRCUIT - RETAIN TRISTANO
20116,VALARIE E.,TURNER - YES,,COOK CIRCUIT - RETAIN TURNER
20117,VALARIE E.,TURNER - NO,,COOK CIRCUIT - RETAIN TURNER
20118,RAUL,VEGA - YES,,COOK CIRCUIT - RETAIN VEGA
20119,RAUL,VEGA - NO,,COOK CIRCUIT - RETAIN VEGA
20120,MARILYN F.,JOHNSON - YES,,COOK CIRCUIT - RETAIN JOHNSON
20121,MARILYN F.,JOHNSON - NO,,COOK CIRCUIT - RETAIN JOHNSON
20122,MICHAEL B.,HYMAN - YES,,COOK CIRCUIT - RETAIN HYMAN
20123,MICHAEL B.,HYMAN - NO,,COOK CIRCUIT - RETAIN HYMAN
20124,JOAN E.,POWELL - YES,,COOK CIRCUIT - RETAIN POWELL
20125,JOAN E.,POWELL - NO,,COOK CIRCUIT - RETAIN POWELL
20126,PATRICK J.,SHERLOCK - YES,,COOK CIRCUIT - RETAIN SHERLOCK
20127,PATRICK J.,SHERLOCK - NO,,COOK CIRCUIT - RETAIN SHERLOCK
20128,ANITA,RIVKIN-CAROTHERS - YES,,COOK CIRCUIT - RETAIN RIVKIN-CAROTHERS
20129,ANITA,RIVKIN-CAROTHERS - NO,,COOK CIRCUIT - RETAIN RIVKIN-CAROTHERS
20130,MAUREEN WARD,KIRBY - YES,,COOK CIRCUIT - RETAIN KIRBY
20131,MAUREEN WARD,KIRBY - NO,,COOK CIRCUIT - RETAIN KIRBY
20132,EDWARD A.,ARCE - YES,,COOK CIRCUIT - RETAIN ARCE
20133,EDWARD A.,ARCE - NO,,COOK CIRCUIT - RETAIN ARCE
20134,JAMES N.,O'HARA - YES,,COOK CIRCUIT - RETAIN O'HARA
20135,JAMES N.,O'HARA - NO,,COOK CIRCUIT - RETAIN O'HARA
20136,MAURICIO,ARAUJO - YES,,COOK CIRCUIT - RETAIN ARAUJO
20137,MAURICIO,ARAUJO - NO,,COOK CIRCUIT - RETAIN ARAUJO
20138,EILEEN O'NEILL,BURKE - YES,,COOK CIRCUIT - RETAIN BURKE
20139,EILEEN O'NEILL,BURKE - NO,,COOK CIRCUIT - RETAIN BURKE
20140,THOMAS J.,BYRNE - YES,,COOK CIRCUIT - RETAIN BYRNE
20141,THOMAS J.,BYRNE - NO,,COOK CIRCUIT - RETAIN BYRNE
20142,ANN,COLLINS-DOLE - YES,,COOK CIRCUIT - RETAIN COLLINS-DOLE
20143,ANN,COLLINS-DOLE - NO,,COOK CIRCUIT - RETAIN COLLINS-DOLE
20144,DONNA L.,COOPER - YES,,COOK CIRCUIT - RETAIN COOPER
20145,DONNA L.,COOPER - NO,,COOK CIRCUIT - RETAIN COOPER
20146,ANNA HELEN,DEMACOPOULOS - YES,,COOK CIRCUIT - RETAIN DEMACOPOULOS
20147,ANNA HELEN,DEMACOPOULOS - NO,,COOK CIRCUIT - RETAIN DEMACOPOULOS
20148,MARGARITA KULYS,HOFFMAN - YES,,COOK CIRCUIT - RETAIN HOFFMAN
20149,MARGARITA KULYS,HOFFMAN - NO,,COOK CIRCUIT - RETAIN HOFFMAN
20150,DIANA L.,KENWORTHY - YES,,COOK CIRCUIT - RETAIN KENWORTHY
20151,DIANA L.,KENWORTHY - NO,,COOK CIRCUIT - RETAIN KENWORTHY
20152,PAMELA ELIZABETH,LOZA - YES,,COOK CIRCUIT - RETAIN LOZA
20153,PAMELA ELIZABETH,LOZA - NO,,COOK CIRCUIT - RETAIN LOZA
20154,ANNIE,O'DONNELL - YES,,COOK CIRCUIT - RETAIN O'DONNELL
20155,ANNIE,O'DONNELL - NO,,COOK CIRCUIT - RETAIN O'DONNELL
20156,JACKIE MARIE,PORTMAN - YES,,COOK CIRCUIT - RETAIN PORTMAN
20157,JACKIE MARIE,PORTMAN - NO,,COOK CIRCUIT - RETAIN PORTMAN
20158,PAT,ROGERS - YES,,COOK CIRCUIT - RETAIN ROGERS
